DATES;OR FP Equity;DG FP Equity;URW NA Equity;FP FP Equity;DSY FP Equity;AI FP Equity;CS FP Equity;BNP FP Equity;BN FP Equity;CAP FP Equity;CA FP Equity;SGO FP Equity;VIV FP Equity;EL FP Equity;MC FP Equity;ML FP Equity;KER FP Equity;UG FP Equity;PUB FP Equity;RNO FP Equity;SAF FP Equity;HO FP Equity;TEP FP Equity;RMS FP Equity;ENGI FP Equity;ORA FP Equity;MT NA Equity;EN FP Equity;ALO FP Equity;VIE FP Equity;SAN FP Equity;GLE FP Equity;SU FP Equity;AIR FP Equity;LR FP Equity;ACA FP Equity;ATO FP Equity;RI FP Equity;STM FP Equity;WLN FP Equity
01/11/2010;85,61;38,435;147,75;39,25;28,31;62,36178523;13,11;52,17;45,71;36,705;33,89919429;33,8;19,548348;47,655;102,1540805;57,39;107,3314145;20,74899177;36,195;39,665;23,38;29,545;23,32;144,9;28,465;17,225;51,91117904;31,645;36,36;21,05;50,44;42,595;51,875;19,125;28;11,745;25,00679323;63,81;6,307;#N/A
02/11/2010;85,47;38,72;149,9;39,85;28,035;62,80085903;13,2;52,21;45,89;37,36;33,82930805;34,255;19,548348;48,205;103,3707369;57,53;107,5144178;20,46386908;36,16;39,01;23,45;29,975;22,97;154,2;28,74;17,36;53,11405287;31,72;36,595;21,285;50,53;42,1;52,3;19,28;27,905;11,965;25,15424786;64,58;6,312;#N/A
03/11/2010;84,63;38,22;146,85;39,575;27,69;62,08237463;13,07;52,45;45,545;36,58;33,26585024;34,205;19,403187;48,005;104,542332;57,15;107,6059194;20,28702083;36,105;38,885;23,48;29,085;22,25;157,85;28,095;17,185;53,6768654;31,89;36,405;20,9;49,99;42,91;51,275;19,025;28,03;11,88;25,04460211;64,19;6,378;#N/A
04/11/2010;86,46;39,345;149,35;40,62;27,745;63,39959603;13,44;54,37;46,315;34,95;33,4580374;35,69;19,7080251;47,835;107,4262584;57,7;107,7431719;20,54327034;35,965;39,78;23,1;29,11;23,23;156,9;28,64;17,18;54,93491693;32,455;35,795;21,1;50,79;44,845;52,7;18,255;28,7;12,465;25,0181359;64,23;6,432;#N/A
05/11/2010;86,1;39,475;150,5;40,585;27,48;63,91850144;13,72;53,8;46,4;34,585;33,21343556;36,335;19,7709282;48,085;107,3361357;56,21;106,8739064;20,84282962;35,77;40,5;23,16;28,89;23,17;156,5;28,71;17,165;56,43575034;32,68;34,375;21,36;51;44,015;52,875;18,4;28,75;12,14;24,45478358;63,05;6,446;#N/A
06/11/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
07/11/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
08/11/2010;85,79;39,55;149,65;40,455;27,545;63,46612237;13,575;54,3;46,47;34,2;33,12607776;36,565;19,7515734;47,97;107,0207063;57,14;105,3641294;21,0593785;35,73;41,35;22,99;29,02;23,265;154,35;28,705;17,085;57,03166949;32,585;33,715;21,055;51,03;44,09;52,85;18,52;28,895;12,085;23,9783917;63,14;6,491;#N/A
09/11/2010;86,21;39,79;149,95;41,125;27,5;63,35968023;13,765;54,81;47,155;34,845;33,195964;37,12;20,0902824;47,975;106,0744179;57,46;105,730136;21,8714368;35,92;43,125;22,7;29,365;23,515;166,05;28,87;17,23;57,89244159;33,115;33,9;20,87;51,19;44,19;52,5;18,555;28,94;12,225;24,20146409;63,3;6,672;#N/A
10/11/2010;85,89;39,865;146,25;40,75;27,465;62,46822736;13,4;53,5;46,58;34,56;32,92952271;36,74;20,0031858;48,12;105,2633136;55,49;104,6321164;21,36254693;35,845;42,09;22,565;29,125;23;161,05;27,69;17,05;57,04270503;33,64;34,315;21,625;50,47;42,825;51,625;19,095;29,17;11,66;24,12206544;62,73;6,549;#N/A
11/11/2010;86,1;39,81;145,2;40,835;27,095;62,46157473;13,255;52,67;46,6;34,3;32,99504106;35,775;19,9015731;48,04;106,209602;55,59;103,0308378;21,28314568;35,565;42,02;22,39;28,775;22,525;152,65;27,22;16,94;57,3406646;33,105;34,135;21,78;50;41,92;51,95;19,005;29,05;11,385;23,80825174;63,21;6,326;#N/A
12/11/2010;85,33;39,585;144,15;39,47;27,095;61,48363762;13,24;52,98;46,125;34,09;32,8465328;35,57;19,548348;48;104,6324547;55,5;105,5928835;21,11351572;35,195;41,465;22,28;28,78;22,44;151,05;27,025;16,805;55,82879565;32,87;33,82;21,73;49,48;42,41;51,8;18,16;28,58;11,58;23,59274112;62,7;6,433;#N/A
13/11/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
14/11/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
15/11/2010;85,94;40,195;145,75;39,77;27,01;62,21542729;13,54;53,4;46,455;34,48;33,1522851;36,085;19,8338313;47,995;105,308375;56,6;106,5078998;21,26870908;34,925;42,12;22,565;28,975;22,705;149,3;27,62;16,895;56,30332386;33,085;33,76;21,78;49,59;42,595;52,65;18,03;28,97;11,525;24,05022857;63,14;6,449;#N/A
16/11/2010;84,86;39,255;141,5;38,45;26,695;60,47243735;12,87;51,53;46,225;33,685;33,08239886;35,01;19,2193164;47,97;103,641105;55,32;105,226877;20,49635141;34,255;40,925;21,825;28,425;22,375;145,6;26,85;16,58;53,74307864;32,335;33,105;21,665;48,665;40,68;50,65;17,19;28,565;11;23,72885309;62,53;6,394;#N/A
17/11/2010;85,73;39,725;142,45;38,595;26,525;60,80506902;12,73;52,3;46,13;34,045;33,16538877;35,725;19,3741548;48,455;103,7762891;55,66;105,4556311;20,94388576;34,405;41,36;21,53;27,225;22,465;146,3;27,015;16,595;54,4824598;32,46;33,495;21,68;49,5;41,5;51,55;17,32;28,805;11,06;23,73641486;62,65;6,422;#N/A
18/11/2010;87,19;40,475;143,7;39,02;27,05;61,92936406;12,935;53,64;46,655;34,695;34,03459888;36,85;19,7128638;48,56;106,344786;56,15;107,9719259;22,12407716;34,705;42,9;22,64;27,46;22,54;144,9;27,745;16,82;55,42048068;32,705;33,95;22,11;50,32;42,82;54,65;17,32;29,255;11,12;24,05779034;64,15;6,662;#N/A
19/11/2010;87,33;40,525;142,1;38,79;27,06;61,77635349;12,835;53,28;46,98;33,595;33,38815116;37,4;19,8967344;48,14;107,6065038;55,35;108,2921817;22,43446388;34,755;43,155;23,655;27,275;22,2;144,5;27,885;16,8;54,95698801;32,66;33,99;22,47;50;41,84;55,5;17,32;29,22;10,99;23,74775753;64,06;6,754;#N/A
20/11/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
21/11/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
22/11/2010;86,21;40,1;139,8;38,395;26,86;61,47698499;12,605;52,13;46,84;33,765;32,92078693;36,91;19,6886703;47,74;107,9669946;54,75;109,5274537;22,64018532;33,905;43,795;23,345;26,5;21,92;142;27,945;16,655;53,85343404;32,4;33,485;22,33;49,34;40,66;55,45;16,97;29,32;10,575;23,9443637;63,84;6,684;#N/A
23/11/2010;84,11;39,37;138,15;37,77;26,9;60,35268995;12,16;50,14;45,88;33,81;31,69340984;36;19,1902842;47,495;105,2633136;54,1;107,468667;22,19265097;33,77;42,56;23,695;26,62;21,625;140,95;27,075;16,23;52,29742293;31,83;32,895;21,97;48,235;38,755;53,375;16,675;28,94;10,125;23,74019575;62,54;6,587;#N/A
24/11/2010;84,92;39,7;138,05;37,925;26,795;60,87824799;12,1;49,92;46,145;33,96;31,84628599;36,395;19,2677034;47,84;107,2009517;54,1;109,8477094;22,2323516;34,68;43,235;24,51;26,995;21,84;140,35;27,02;16,235;52,38570725;31,94;32,5;21,69;48,495;38,8;54,375;17,51;29,78;10,195;23,89521216;63,57;6,731;#N/A
25/11/2010;85;39,65;138,5;37,97;26,43;61,72313242;12,135;49,82;46,25;33,785;31,64973094;36,295;19,209639;47,865;108,913283;54,67;114,0110337;22,5860481;34,7;43,915;24,55;26,955;22,065;139,2;26,84;16,225;53,8423985;31,825;32,2;21,515;48,53;38,775;54,575;17,5;29,38;10,16;24,07669478;64,66;6,823;#N/A
26/11/2010;84,66;39,175;137,65;37,735;26,435;61,41711129;11,885;48,735;45,775;33,485;31,81571076;35,995;18,822543;47,905;108,012056;54,1;114,1940369;21,96888379;34,715;42,995;24,61;27,285;22,17;142,6;26,465;16,185;53,00369747;31,555;31,825;21,015;48,42;38,41;54,725;17,46;29,36;10,06;23,58517934;64;7,011;#N/A
27/11/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
28/11/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
29/11/2010;82,05;38,265;134,85;37,1;25,965;59,87370035;11,47;47,18;45,18;32,395;31,11684836;34,985;18,435447;47,23;105,4886204;52,17;111,9979978;21,31201886;34,375;41,245;23,86;27,07;22,455;142;25,585;15,755;52,69470236;30,74;30,945;20,52;46,97;37,05;53,55;17,215;28,88;9,7;23,23355676;62,72;6,9;#N/A
30/11/2010;81,93;37,3;133,95;37,315;26,355;60,00675301;11,06;45,6;45,125;32,49;30,44856119;34,515;18,1886733;48,135;105,308375;52,12;111,9979978;20,73094603;34,425;40,38;24,135;27,01;22,965;146;25,55;15,6;53,59961662;30,74;31,735;20,285;46,58;35,705;54,075;17,26;29,405;9,441;23,78178552;62,79;6,907;#N/A
01/12/2010;82,5;37,75;136,7;37,62;26,78;60,66536372;11,42;46,55;45,78;32,685;28,7407162;35,075;18,8515752;48,415;106,7953995;53,4;113,5992763;21,62962388;35,1;42,45;25,275;27,435;23,655;157,7;25,65;15,77;55,58601378;31,49;32,04;20,23;47,8;37,315;55,6;17,48;29,985;9,836;24,50015424;63,6;6,957;#N/A
02/12/2010;84,78;38,24;142,9;38,035;27,075;60,99799539;11,815;48,025;46,96;32,8;29,55314374;36,405;19,0015749;48,83;110,1299394;55,7;116,664581;22,39115411;35,875;44,105;25,705;27,915;24,34;166,05;26,295;15,905;56,75578099;31,88;32,46;20,36;47,96;39,01;58,025;17,58;31,08;10,115;24,7005413;66,23;6,971;#N/A
03/12/2010;84,23;38,73;142,55;38,06;27,19;61,41045866;11,74;48,84;46,385;33,52;28,91979969;36,905;19,0209297;49,01;109,6793259;56,25;115,1548041;22,31175285;36,235;43,835;26,37;28,43;24,67;150,55;26,265;15,905;57,16409596;31,76;32,43;20,675;47,92;39,305;57,025;17,5;30,835;10,18;24,96520346;64,85;7,464;#N/A
04/12/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
05/12/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
06/12/2010;84,35;38,68;142,2;38,435;27,37;61,59007976;11,675;48,18;46,48;33,375;28,19036206;36,875;19,064478;48,975;109,4540192;54,58;114,8802992;22,39115411;36,015;44,575;26,07;28,23;24,415;149,8;26,335;15,72;58,85253355;31,105;32,615;20,55;47,835;38,58;58,325;17,38;31,51;9,95;24,80640617;65,07;7,615;#N/A
07/12/2010;85,87;39,48;145,65;39,01;27,71;62,35513259;11,905;49,28;47,12;34;28,5660006;38,435;19,2725421;48,82;111,8422707;54,39;116,6188302;22,87838909;36,325;45,6;25,975;28,335;25,03;147,3;26,825;15,835;59,62502133;31,57;34,085;21,125;48,55;38,9;59,075;17,925;31,98;10,04;25,3319496;67,32;7,605;#N/A
08/12/2010;85,67;39,64;146,5;39,12;27,92;63,46612237;12,27;50,61;47,11;34,31;28,2165694;38,61;19,5144771;49,07;109,949694;54,77;116,1155712;23,03358245;36,075;44,995;25,47;28,285;24,945;147,85;26,98;15,9;59,2277419;31,815;34,745;21,2;49,145;40,065;57,9;18,485;31,765;10,195;25,87639747;66,9;7,6;#N/A
09/12/2010;85,65;40,08;145,35;39,42;27,88;63,16010123;12,83;52,01;47,015;34,57;27,91518499;38,695;19,8918957;49,12;108,7780989;53,63;114,1940369;21,76677151;37,045;43,655;25,045;28,095;24,895;146,1;27,535;16,04;59,65812795;32,025;34,965;21,435;49,34;41,595;57,4;17,915;31,21;10,565;25,75540906;67,43;7,647;#N/A
10/12/2010;85,82;40,28;144,45;39,245;27,89;63,22662757;12,695;51,65;46,995;34,28;27,74483728;38,795;19,741896;49,1;109,4990805;54,49;116,8933351;21,97610209;37,25;44,02;25,175;28,27;24,47;148,95;27,47;15,98;59,81262551;31,945;35,4;21,53;49,31;41,315;58,3;17,975;31,265;10,52;25,46049979;67,73;7,727;#N/A
11/12/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
12/12/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
13/12/2010;86,4;40,405;146,65;39,765;28,04;63,78544877;12,85;52,07;47,335;34,215;28,25151252;39,41;19,790283;49,21;111,0311664;54,86;116,2070728;22,4958194;37,32;45;25,04;27,985;24,575;148,75;27,64;16;61,64452511;31,955;35,725;21,7;49;42,08;59,75;17,915;31,59;10,625;25,58148821;67,59;7,69;#N/A
14/12/2010;86,67;40,375;149,1;40,09;28,33;64,24448047;12,825;51,85;47,505;34,205;28,53979326;39,27;19,8289926;49,56;111,5268413;54,44;116,3900761;22,45250962;37,665;44,48;25,265;27,94;24,435;150,25;27,71;16,05;60,91617948;32,1;35,99;22,015;49,63;42,095;59,275;17,825;31,695;10,665;25,55880288;68;7,655;#N/A
15/12/2010;85,8;40,43;148;39,92;28,27;64,37088051;12,655;50,7;47,56;34,1;28,391285;38,81;20,0370567;49,48;109,4990805;54,5;115,2920565;21,88948254;37,66;43,66;25,72;27,855;24,555;149,4;27,495;15,965;62,24044426;31,98;36,55;21,93;49,53;41,36;58,5;17,645;31,465;10,39;29,00697274;68,6;7,623;#N/A
16/12/2010;86,1;40,48;146,25;39,905;28,41;65,00953331;12,73;50,59;47,71;34,18;29,0464685;38,73;19,9741536;49,555;111,3465959;54,86;114,6057943;21,90752828;37,815;43,9;26,135;26,825;24,46;151,65;27,705;16,035;62,45011951;32,02;36,06;21,865;49,195;41,68;57,95;17,825;31,16;10,35;29,10527582;69,21;7,59;#N/A
17/12/2010;85,73;40,545;145,75;39,77;28,52;65,06940701;12,645;49,71;47,2;34,8;28,86301712;38,75;19,9547988;49,225;111,0311664;53,74;113,4162731;21,48525796;38,06;43,11;26,995;26,21;24,655;157,35;27,18;15,915;64,06130832;31,995;35,845;21,655;48,655;41,29;57,675;17,655;31,495;10,09;30,0580596;69,72;7,598;#N/A
18/12/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
19/12/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
20/12/2010;86,27;40,6;147;39,955;28,52;64,82991221;12,78;49,765;47,395;34,95;27,96759967;39,315;20,1677016;49,295;111,2114118;54,6;112,8672633;21,65849707;38,115;43,25;26,92;26,43;24,51;154,5;27,765;15,935;64,60204976;32,255;36,16;22,095;48,895;41,4;58,1;17,89;31,445;9,88;30,32272176;70,67;7,838;#N/A
21/12/2010;86,37;40,96;147,35;40,55;28,785;65,85441775;12,91;50,28;48;35,395;28,07679692;40,175;20,3370561;49,425;113,0589272;54,95;112,8215124;22,06993994;38,445;44,355;27,43;26,575;24,805;156,65;28,2;16,075;64,14959263;32,62;36,63;22,375;49,22;43,005;58,375;18,06;31,645;9,963;30,45505284;71,15;7,883;#N/A
22/12/2010;86,07;40,985;147,1;40,51;28,78;65,12928071;12,86;49,735;47,765;35,42;27,74920517;39,645;20,3080239;49,43;115,0866879;55,32;111,9522469;22,11685886;38,39;44,95;27,755;26,655;25,085;160,3;28,16;16;63,60885119;32,41;36,635;22,585;49,5;42,4;58,475;18,025;31,44;9,949;30,53445149;71,3;7,869;#N/A
23/12/2010;86,45;40,7;147,2;40,505;28,725;64,33096471;12,89;49,55;48,005;35,54;27,84093086;39,17;20,3322174;49,51;114,7712585;55,15;111,2659847;21,80647213;38,795;44,765;27,37;26,655;24,995;159,5;28,215;16,03;62,60461707;32,355;36,585;22,585;49,44;42,21;58,2;17,955;31,365;9,82;29,91438586;71,94;7,844;#N/A
24/12/2010;86,47;40,58;147,4;40,465;28,72;64,21786994;12,83;49,6;48,155;35,42;27,78851618;38,92;20,2983465;49,35;115,357056;54,64;110,6254733;21,25788164;38,82;43,725;26,81;26,5;24,95;158,95;28,05;16,02;62,7811857;32,32;36,38;22,53;49,05;42,135;57,775;18;31,15;9,78;29,98622273;71,87;7,86;#N/A
25/12/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
26/12/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
27/12/2010;85,15;40,415;146,1;39,995;28,55;63,75883824;12,68;48,92;47,86;35,355;27,7797804;38,88;19,935444;49,565;113,2391726;54;109,5274537;20,81756559;38,655;43,44;26,88;26,5;24,835;157,65;27,59;15,83;62,67083031;32,405;35,98;21,97;48,76;41,34;57,175;18,025;30,89;9,586;29,82364454;72,31;7,74;#N/A
28/12/2010;85;40,575;146,95;40,035;28,7;63,5126908;12,655;48,775;47,745;35,52;27,74483728;38,945;19,8531861;49,66;112,3379456;54,61;109,5732045;20,70207285;38,85;43,15;26,69;26,37;24,895;157,25;27,42;15,775;62,48322613;32,35;35,905;22,07;48,7;41,51;57,05;17,875;30,83;9,662;29,79717833;72,07;7,748;#N/A
29/12/2010;85,49;41,275;148,2;40,54;28,65;64,84321748;12,69;48,98;48,235;35,53;28,01127857;39,455;20,0999598;49,54;113,0589272;54,3;110,3967192;20,78508325;38,755;43,375;26,69;26,57;24,995;156,15;27,63;15,905;63,32192715;32,56;36,24;22,41;49,15;41,485;57,75;17,905;31,005;9,619;30,65922079;71,66;7,831;#N/A
30/12/2010;84,3;41,12;147,75;40,12;28,51;63,66570137;12,585;48,425;47,76;35,63;27,50897122;38,96;19,8531861;49,255;111,1663505;54,14;109,710457;20,64071733;38,91;43,44;26,605;26,585;25,12;157,55;27,24;15,7;62,92464772;32,37;35,905;22,285;48,65;40,865;56,85;17,765;30,855;9,601;30,51176616;71,25;7,886;#N/A
31/12/2010;83,08;40,68;148;39,65;28,21;62,96052223;12,45;47,61;47,02;34,93;26,9498813;38,5;19,548348;48,175;110,9410437;53,7;108,8869423;20,50717886;39;43,5;26,5;26,185;25,25;156,75;26,85;15,595;62,63772369;32,255;35,81;21,87;47,85;40,22;56;17,44;30,475;9,504;30,12611558;70,36;7,739;#N/A
