DATES;OR FP Equity;DG FP Equity;ASML NA Equity;SAN SQ Equity;PHIA NA Equity;FP FP Equity;AI FP Equity;CS FP Equity;BNP FP Equity;BN FP Equity;EL FP Equity;VIV FP Equity;MC FP Equity;KER FP Equity;AMS SQ Equity;SAF FP Equity;AD NA Equity;IBE SQ Equity;UNA NA Equity;INGA NA Equity;LIN GY Equity;PRX NA Equity;ITX SQ Equity;KNEBV FH Equity;ISP IM Equity;ENI IM Equity;ENGI FP Equity;ABI BB Equity;ADYEN NA Equity;SAN FP Equity;ENEL IM Equity;NOKIA FH Equity;SU FP Equity;ALV GY Equity;AIR FP Equity;BAYN GY Equity;BMW GY Equity;CRH ID Equity;BAS GY Equity;SIE GY Equity;VOW3 GY Equity;MUV2 GY Equity;SAP GY Equity;RI FP Equity;ADS GY Equity;DTE GY Equity;DPW GY Equity;DAI GY Equity;DB1 GY Equity;VNA GY Equity
20/12/2010;86,27;40,6;28,94;7,9176258;22,10656826;39,955;64,82991221;12,78;49,765;47,395;49,295;20,1677016;111,2114118;112,8672633;15,12;26,92;11,18121868;5,767;23,685;7,325;#N/A;#N/A;11,32;20,985;1,983611759;16,39;27,765;43,4;#N/A;48,895;3,7775;7,555;58,1;90,4;17,89;55,4832761;63,15;15,4;61,05;82,67580516;126,25;113,3;37,695;70,67;51,48;9,67;12,62;53,88;52,29;#N/A
21/12/2010;86,37;40,96;28,89;8,144827236;22,25358601;40,55;65,85441775;12,91;50,28;48;49,425;20,3370561;113,0589272;112,8215124;15,385;27,43;11,25603639;5,896;23,81;7,409;#N/A;#N/A;11,752;21,27;2,030505654;16,55;28,2;43,87;#N/A;49,22;3,8475;7,775;58,375;91,13;18,06;55,82770935;64,8;15,84;61,71;82,73720242;129,15;115,15;38,28;71,15;51,41;9,738;12,65;54,66;52,62;#N/A
22/12/2010;86,07;40,985;29,155;8,033685408;22,44470908;40,51;65,12928071;12,86;49,735;47,765;49,43;20,3080239;115,0866879;111,9522469;15,205;27,755;11,23646868;5,94;23,685;7,344;#N/A;#N/A;11,8;21,155;2,011748096;16,59;28,16;43,685;#N/A;49,5;3,85;7,855;58,475;90,62;18,025;55,86707315;64,37;15,82;61,61;82,45652921;129,85;115,2;38,22;71,3;50,58;9,67;12,695;54,33;52,78;#N/A
23/12/2010;86,45;40,7;28,895;7,995326724;22,38100139;40,505;64,33096471;12,89;49,55;48,005;49,51;20,3322174;114,7712585;111,2659847;15,57;27,37;11,31934368;5,918;23,775;7,304;#N/A;#N/A;11,602;21,15;2,004714011;16,67;28,215;43,75;#N/A;49,44;3,8525;7,86;58,2;90,2;17,955;55,6210494;63,26;15,65;61,42;83,13189914;128,1;115,1;38,365;71,94;50,1;9,693;12,755;54,07;52,55;#N/A
24/12/2010;86,47;40,58;28,86;#N/A;22,34669725;40,465;64,21786994;12,83;49,6;48,155;49,35;20,2983465;115,357056;110,6254733;#N/A;26,81;11,39416139;#N/A;23,745;7,284;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;28,05;43,75;#N/A;49,05;#N/A;#N/A;57,775;#N/A;18;#N/A;#N/A;15,57;#N/A;#N/A;#N/A;#N/A;#N/A;71,87;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
25/12/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
26/12/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
27/12/2010;85,15;40,415;29,055;7,76025684;22,38590198;39,995;63,75883824;12,68;48,92;47,86;49,565;19,935444;113,2391726;109,5274537;15,695;26,88;11,41027597;5,839;23,64;7,2;#N/A;#N/A;11,33;21,02;1,96954359;16,52;27,59;43,56;#N/A;48,76;3,8075;7,785;57,175;89,39;18,025;54,98138765;59,22;#N/A;60,66;82,76351554;122;114,95;38,3;72,31;49,43;9,65;12,7;51,57;52,19;#N/A
28/12/2010;85;40,575;29,26;7,78976352;22,51821795;40,035;63,5126908;12,655;48,775;47,745;49,66;19,8531861;112,3379456;109,5732045;15,75;26,69;11,4332968;5,808;23,725;7,204;#N/A;#N/A;11,38;21,025;1,950786032;16,5;27,42;43,47;#N/A;48,7;3,79;7,79;57,05;89,66;17,875;54,8337734;58,25;#N/A;60,6;82,76351554;121,25;115,3;38,38;72,07;49,505;9,645;12,73;51,5;52,3;#N/A
29/12/2010;85,49;41,275;28,86;7,870415112;22,62113037;40,54;64,84321748;12,69;48,98;48,235;49,54;20,0999598;113,0589272;110,3967192;15,71;26,69;11,4332968;5,836;23,94;7,289;#N/A;#N/A;11,422;20,975;1,948441337;16,58;27,63;43,285;#N/A;49,15;3,8075;7,795;57,75;89,7;17,905;54,9715467;58,72;15,57;61,35;83,10558602;123,85;114,95;38,395;71,66;49,64;9,704;12,74;51,32;52,41;#N/A
