#NAME?;OR FP Equity;DG FP Equity;URW NA Equity;FP FP Equity;DSY FP Equity;AI FP Equity;CS FP Equity;BNP FP Equity;BN FP Equity;CAP FP Equity;CA FP Equity;SGO FP Equity;VIV FP Equity;EL FP Equity;MC FP Equity;ML FP Equity;KER FP Equity;UG FP Equity;PUB FP Equity;RNO FP Equity;SAF FP Equity;HO FP Equity;TEP FP Equity;RMS FP Equity;ENGI FP Equity;ORA FP Equity;MT NA Equity;EN FP Equity;ALO FP Equity;VIE FP Equity;SAN FP Equity;GLE FP Equity;SU FP Equity;AIR FP Equity;LR FP Equity;ACA FP Equity;ATO FP Equity;RI FP Equity;STM FP Equity
DATES;px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d')
15/08/2011;78,16;31,58;129,1;37,585;29,56;60,08658461;9,785;27,925;46,995;25;16,44;27,865;15,9096456;51,75;94,9893258;44,22;98,04399885;8,669173463;34,245;25,99;21,685;21,8;15,505;218,3;20,045;12;29,9862678;23,6;22,535;8,256;53,2;16,305;37,75;22,76;23,14;4,04;25,49452778;67,5;4,29
16/08/2011;77,22;31,43;127,35;36,855;29,395;59,46788971;9,771;27,745;45,99;24,405;16,005;27,39;15,7160976;51,89;93,8177307;42,935;96,99173008;8,524807544;33,695;25,695;21,745;22,27;16,015;216,25;19,73;11,82;30,59111106;23,675;22,21;8,087;53,43;16,545;37,595;22,65;23,165;4,043;25,31304516;66,9;4,21
17/08/2011;77,71;31,495;127,75;36,525;29,09;59,62090028;9,974;28,425;47,04;24,02;16,59;27,21;15,4790013;52,16;94,1782215;42,745;96,99173008;8,47788862;33,75;25,2;21,505;22,095;15,72;213,65;19,52;11,715;30,40500544;23,225;22;7,93;53,66;16,45;37,285;22,8;22,96;4,043;25,24498918;67,62;4,172
18/08/2011;78,48;32,205;132,05;37,03;29,845;60,94477432;10,425;30,14;46,885;25,325;17,4;28,65;15,822549;52,39;95,2596939;44,855;99,41652333;9,022869966;34,415;26,795;22,23;22,885;16,5;215,1;20,225;11,85;32,06832441;23,925;23,315;8,051;54,46;17,215;39,23;23,6;23,875;4,324;26,31876137;68,21;4,386
19/08/2011;78,59;32,145;130,95;37,44;29,245;60,94477432;10,095;29,245;46,885;24,09;16,575;28,02;15,7354524;52,09;95,1695712;45,125;98,95901517;9,004824226;34,045;26,66;22,35;22,545;16,27;223,15;19,71;11,75;31,83569238;23,585;22,65;7,87;54,25;16,63;38,545;23,685;23,385;4,232;25,39244381;68;4,346
20/08/2011;78,48;32,595;132;37,83;29,575;61,16431122;10,265;30,24;46,94;24,62;16,985;28,765;15,8612586;52,7;96,11585955;45,565;100,3772905;9,040915706;34,23;26,55;22,325;22,51;16,545;224,55;20,195;11,875;32,58011486;23,95;23,245;8,123;55,06;17,18;38,48;23,645;23,75;4,38;25,2071803;68,83;4,507
21/08/2011;79,68;32,98;134;38,635;29,9;61,79631139;10,26;30,3;47,34;24,67;17,05;28,905;15,9822261;53,65;97,6930068;45,42;101,749815;8,972341894;34,71;26,82;22,605;23,15;16,945;226,5;20,475;11,97;32,59174646;24,195;23,12;8,415;55,41;17,22;38,7;23,6;23,975;4,416;25,67601041;69,72;4,55
22/08/2011;79,72;32,915;134,95;38,84;30,025;62,10233253;10,245;29,955;47,565;24,41;17,085;28,93;16,0354518;53,7;97,2423933;45,615;100,8347986;8,932641266;34,905;26,825;22,6;23,335;17,04;229,55;20,535;11,97;32,84764168;24,045;23,21;8,399;55,21;16,86;39,12;23,59;24,225;4,332;25,72516195;69,88;4,473
23/08/2011;79,62;32,54;132,15;38,43;30,09;62,32186943;9,99;29,455;47,55;23,82;16,715;28,325;15,8322264;53,56;96,431289;44,655;99,73677905;8,651127723;35,05;25,855;22,445;23,38;16,735;226,95;20,195;11,855;31,80079758;23,75;22,78;8,148;55,15;16,345;38,73;23,6;24,155;4,2;25,12400076;70,33;4,492
24/08/2011;80,3;33,005;136,45;39,255;30,575;63,34637497;9,877;30,33;48,4;23,915;17,27;28,955;16,2193224;54,34;97,55782275;45,05;100,5145429;8,669173463;35,435;26,34;22,69;23,545;16,935;227,95;20,865;11,985;32,56848326;24,01;23,035;8,358;56,2;16,695;39,92;24,08;24,515;4,29;25,3621967;70,86;4,571
25/08/2011;80,7;33,76;138,9;39,5;30,965;63,5925224;10,045;30,35;48,57;24,145;17,615;29,665;16,3741608;54,55;98,5942338;45,675;101,246556;8,741356423;35,545;26,8;23,205;24,4;17,175;230,35;21,12;12,135;32,87090489;24,345;23,43;8,469;56,75;17,205;40,68;24,15;24,85;4,36;25,64198242;71,66;4,591
26/08/2011;81,8;34,45;137,8;40;31,425;64,61702794;10,43;31,29;49,245;25,075;18,12;30,245;16,9451274;55,16;100,3516265;46,41;102,7105821;9,105880369;36,22;27,595;23,5;24,4;17,53;231,3;21,79;12,355;34,54585545;24,88;24,095;8,935;57,42;17,685;41,56;24,5;25,16;4,433;26,17130674;72,47;4,703
27/08/2011;82,12;34,755;138,25;40,445;31,315;64,84321748;10,58;31,335;49,79;25,25;18,305;30,96;16,8435147;55,56;101,0726081;47,725;104,3118607;9,510104944;36,135;28,39;23,31;24,38;17,65;235,35;21,725;12,355;35,31354113;24,945;24,44;8,836;57,29;17,6;43,26;24,5;25,305;4,433;26,78381059;72,06;4,946
28/08/2011;81,33;34,55;136,6;40,135;30,91;64,43075421;10,4;30,65;48,585;25,09;17,59;30,27;16,4467413;55,47;99,9460743;47,265;103,8086017;9,358520729;35,94;27,825;22,93;24;17,57;238,35;21,28;12,045;34,74359267;24,635;24,105;8,487;56,21;17;42,08;24,565;25,16;4,3;26,75734438;71,62;4,791
29/08/2011;81,42;34,06;134,45;39,86;30,975;63,29980653;9,89;29;48,43;24,245;16,82;29,675;16,1467419;54,86;99,08990865;46,985;104,5406147;9,120316961;35,545;27,62;23,15;23,5;17,02;240;20,785;11,79;34,92969829;24,05;23,245;8,211;55,5;16,08;42,505;24,89;24,77;4,076;26,1183743;71,53;4,726
30/08/2011;81,18;33,735;132,6;39,99;31,26;63,1334907;9,8;28,455;48,265;24,685;16,61;29,165;16,016097;55,2;98,1436203;46,645;104,0373558;9,239418845;36,78;28,31;23,355;23,83;17,21;237,6;20,67;11,79;34,27832863;23,73;22,765;8,128;56,25;15,565;42,425;24,765;24,765;4,129;26,34522758;71,93;4,85
31/08/2011;81,62;33,845;132,1;39,96;31,565;63,0536591;9,544;27,895;48,98;24,8;16,605;29,16;15,7935168;55,69;99,18003135;46,88;104,8151196;8,831585123;36,62;28,195;23,325;23,345;17;245,35;20,53;11,69;34,19690742;23,6;22,66;7,984;55,79;15;42,695;24,865;24,66;4,043;26,16752585;73,35;4,817
01/09/2011;82,95;35;137,2;40,44;31,155;65,16919651;10,265;29,585;48,89;25,295;16,85;30,9;15,7548072;56,36;103,8213504;47,995;107,9719259;9,326038397;37,46;29,495;23,52;23,89;17,82;245,15;21,36;11,875;34,9878563;23,24;23,195;8,198;56,75;15,745;44,56;25,03;25,5;4,117;26,7195355;74,33;5,06
